No,IndexSummaryID,Date,IndexCode,Previous,Highest,Lowest,Close,NumberOfStock,Change,Volume,Value,Frequency,MarketCapital,Year
7,68909,2015-06-19T00:00:00,PROPERTY,502.367,507.787,503.613,503.825,57.0,1.458,697655105.0,523034064269.0,31067.0,362364239425003.0,2015
8,68910,2015-06-19T00:00:00,INFRASTRUC,1035.316,1045.805,1035.18,1045.805,52.0,10.489,696768752.0,472740519215.0,20059.0,672701588514340.0,2015
9,68911,2015-06-19T00:00:00,FINANCE,706.412,719.936,710.324,717.742,86.0,11.33,383753668.0,1514651369125.0,23746.0,1289825466392970.0,2015
10,68912,2015-06-19T00:00:00,TRADE,917.621,923.428,917.819,921.264,113.0,3.643,1061877465.0,753955461782.0,34701.0,681659438286567.0,2015
11,68913,2015-06-19T00:00:00,MANUFACTUR,1256.099,1263.966,1256.631,1258.947,142.0,2.848,1193775947.0,1573093142620.0,38482.0,1700712488627240.0,2015
12,68914,2015-06-19T00:00:00,LQ45,850.58,859.362,853.989,857.653,45.0,7.073,909709037.0,3978108075460.0,100037.0,3190523326029500.0,2015
13,68915,2015-06-19T00:00:00,JII,665.055,669.018,665.055,666.82,30.0,1.765,609127548.0,2353253429980.0,63974.0,1924687282672640.0,2015
14,68916,2015-06-19T00:00:00,MBX,1425.983,1438.698,1430.218,1437.307,272.0,11.324,2370511827.0,4582076136244.0,141819.0,4541279036004560.0,2015
15,68917,2015-06-19T00:00:00,DBX,681.62,687.324,682.001,687.324,241.0,5.704,2442593290.0,781995183922.0,32393.0,528248467990050.0,2015
16,68918,2015-06-19T00:00:00,KOMPAS100,1071.881,1082.81,1075.736,1080.979,100.0,9.098,2574075644.0,4536952974016.0,144755.0,3556695386308000.0,2015
17,68919,2015-06-19T00:00:00,BISNIS-27,419.433,424.085,421.182,424.016,27.0,4.583,614375393.0,3283904959695.0,65820.0,2498432941742270.0,2015
18,68920,2015-06-19T00:00:00,PEFINDO25,421.187,424.914,420.692,421.458,25.0,0.271,224919221.0,239044540550.0,14085.0,140967123956522.0,2015
19,68921,2015-06-19T00:00:00,SRI-KEHATI,287.866,291.282,288.785,290.723,25.0,2.857,429423874.0,2495736187820.0,57041.0,2438409879614120.0,2015
20,68922,2015-06-19T00:00:00,ISSI,159.277,160.167,159.376,159.866,314.0,0.589,3378845857.0,3362785569086.0,118036.0,2897583863582080.0,2015
21,68923,2015-06-19T00:00:00,IDX30,439.92,444.308,441.447,443.559,30.0,3.639,680988481.0,3603721169800.0,76732.0,2869221598818720.0,2015
22,68924,2015-06-19T00:00:00,INFOBANK15,540.673,552.214,544.066,550.31,15.0,9.637,182114182.0,1351422064435.0,20096.0,1102217328982480.0,2015
23,68925,2015-06-19T00:00:00,SMinfra18,332.631,335.723,333.126,335.723,18.0,3.092,279128775.0,1418761464865.0,30778.0,848176511788630.0,2015
24,68926,2015-06-19T00:00:00,MNC36,266.259,269.301,267.338,268.133,36.0,1.874,713400731.0,3158871774439.0,74888.0,2489018352572850.0,2015
25,68927,2015-06-19T00:00:00,Investor33,348.7,352.441,349.83,351.925,33.0,3.225,703736255.0,3498437419345.0,75667.0,2870362476773390.0,2015
1,68953,2015-06-22T00:00:00,COMPOSITE,4985.006,4992.042,4957.346,4959.252,513.0,-25.754,7031161386.0,3909278762874.0,161816.0,5055005310932750.0,2015
2,68954,2015-06-22T00:00:00,AGRI,2066.617,2076.887,2041.722,2041.722,21.0,-24.895,195904335.0,188708826500.0,8975.0,140496649204190.0,2015
3,68955,2015-06-22T00:00:00,MINING,1144.12,1146.826,1135.492,1138.773,42.0,-5.347,454537589.0,167167877493.0,9802.0,220041726299424.0,2015
4,68956,2015-06-22T00:00:00,BASIC-IND,437.096,437.628,434.616,435.196,65.0,-1.9,608295700.0,258679887300.0,12636.0,305640681221902.0,2015
5,68957,2015-06-22T00:00:00,MISC-IND,1215.963,1228.521,1207.514,1207.712,41.0,-8.251,112432974.0,154475921150.0,7063.0,344183659926499.0,2015
6,68958,2015-06-22T00:00:00,CONSUMER,2229.687,2235.142,2213.251,2226.329,36.0,-3.358,41672443.0,155988345615.0,9593.0,1046041005319930.0,2015
7,68959,2015-06-22T00:00:00,PROPERTY,503.825,505.192,501.48,503.664,57.0,-0.161,898904010.0,583929180091.0,37881.0,368074222803958.0,2015
